path,group,category,v1_score,v2_score,score_delta
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0013_neg_004.wav,librispeech,speech,0.000001,0.010957,0.010956
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0013_neg_005.wav,librispeech,speech,0.000001,0.039173,0.039173
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0014_neg_009.wav,librispeech,speech,0.000004,0.006584,0.006580
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0016_neg_006.wav,librispeech,speech,0.000008,0.004976,0.004969
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0016_neg_010.wav,librispeech,speech,0.000000,0.005977,0.005976
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0017_neg_014.wav,librispeech,speech,0.000583,0.018003,0.017420
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0018_neg_004.wav,librispeech,speech,0.000831,0.217714,0.216883
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0019_neg_008.wav,librispeech,speech,0.000003,0.024155,0.024152
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0021_neg_007.wav,librispeech,speech,0.000000,0.014962,0.014962
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0021_neg_012.wav,librispeech,speech,0.000016,0.176066,0.176050
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0022_neg_005.wav,librispeech,speech,0.000000,0.037300,0.037300
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0022_neg_009.wav,librispeech,speech,0.000000,0.000050,0.000050
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0024_neg_005.wav,librispeech,speech,0.000001,0.027406,0.027406
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0024_neg_010.wav,librispeech,speech,0.000000,0.019895,0.019895
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0024_neg_012.wav,librispeech,speech,0.000009,0.016091,0.016082
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0025_neg_003.wav,librispeech,speech,0.000077,0.087714,0.087637
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0025_neg_012.wav,librispeech,speech,0.000002,0.011010,0.011008
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0026_neg_003.wav,librispeech,speech,0.000000,0.000340,0.000340
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0027_neg_003.wav,librispeech,speech,0.000005,0.001934,0.001929
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0027_neg_007.wav,librispeech,speech,0.000136,0.169025,0.168889
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0027_neg_010.wav,librispeech,speech,0.000000,0.024975,0.024975
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0027_neg_011.wav,librispeech,speech,0.000122,0.020485,0.020363
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0028_neg_000.wav,librispeech,speech,0.000000,0.002449,0.002449
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0028_neg_004.wav,librispeech,speech,0.000002,0.014050,0.014048
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0028_neg_008.wav,librispeech,speech,0.000004,0.014021,0.014017
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0029_neg_004.wav,librispeech,speech,0.000121,0.047861,0.047740
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0029_neg_009.wav,librispeech,speech,0.000000,0.006725,0.006725
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0030_neg_009.wav,librispeech,speech,0.000001,0.008983,0.008982
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0030_neg_010.wav,librispeech,speech,0.000000,0.000743,0.000743
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0031_neg_000.wav,librispeech,speech,0.000000,0.000434,0.000434
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0031_neg_008.wav,librispeech,speech,0.000030,0.074363,0.074333
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0032_neg_004.wav,librispeech,speech,0.000001,0.005083,0.005082
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0032_neg_007.wav,librispeech,speech,0.000000,0.319665,0.319665
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0033_neg_008.wav,librispeech,speech,0.000065,0.022434,0.022369
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0034_neg_000.wav,librispeech,speech,0.000000,0.003677,0.003676
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0034_neg_004.wav,librispeech,speech,0.000001,0.019492,0.019491
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0035_neg_003.wav,librispeech,speech,0.000000,0.008109,0.008108
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0035_neg_010.wav,librispeech,speech,0.000001,0.001655,0.001654
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0035_neg_013.wav,librispeech,speech,0.000016,0.009105,0.009089
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0036_neg_006.wav,librispeech,speech,0.000017,0.206259,0.206243
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0036_neg_010.wav,librispeech,speech,0.000018,0.230571,0.230552
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0037_neg_002.wav,librispeech,speech,0.000000,0.242373,0.242373
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0037_neg_004.wav,librispeech,speech,0.000006,0.004540,0.004534
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0037_neg_006.wav,librispeech,speech,0.000384,0.026932,0.026549
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0038_neg_009.wav,librispeech,speech,0.008214,0.141324,0.133110
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0038_neg_011.wav,librispeech,speech,0.000199,0.889268,0.889069
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0040_neg_004.wav,librispeech,speech,0.000012,0.002044,0.002032
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0041_neg_013.wav,librispeech,speech,0.000002,0.489741,0.489738
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0042_neg_005.wav,librispeech,speech,0.000018,0.107169,0.107151
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0042_neg_007.wav,librispeech,speech,0.000000,0.008474,0.008474
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0043_neg_002.wav,librispeech,speech,0.000001,0.000525,0.000524
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0043_neg_003.wav,librispeech,speech,0.000000,0.029904,0.029904
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0043_neg_012.wav,librispeech,speech,0.000807,0.780583,0.779775
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0044_neg_000.wav,librispeech,speech,0.000004,0.000813,0.000808
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0044_neg_006.wav,librispeech,speech,0.000012,0.010101,0.010090
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0045_neg_007.wav,librispeech,speech,0.000049,0.006002,0.005953
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0045_neg_011.wav,librispeech,speech,0.000073,0.560238,0.560165
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0046_neg_000.wav,librispeech,speech,0.000001,0.241471,0.241470
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0046_neg_003.wav,librispeech,speech,0.000011,0.002170,0.002159
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0047_neg_000.wav,librispeech,speech,0.000000,0.000283,0.000283
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0048_neg_010.wav,librispeech,speech,0.000000,0.056069,0.056069
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0049_neg_006.wav,librispeech,speech,0.000000,0.001798,0.001798
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0049_neg_011.wav,librispeech,speech,0.000030,0.324335,0.324305
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0050_neg_008.wav,librispeech,speech,0.000009,0.366829,0.366820
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0050_neg_012.wav,librispeech,speech,0.000001,0.172067,0.172066
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0052_neg_001.wav,librispeech,speech,0.000219,0.000481,0.000262
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0052_neg_003.wav,librispeech,speech,0.000003,0.007129,0.007127
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0052_neg_008.wav,librispeech,speech,0.000191,0.782796,0.782604
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0053_neg_001.wav,librispeech,speech,0.000000,0.028214,0.028214
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0054_neg_010.wav,librispeech,speech,0.000714,0.173517,0.172803
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0054_neg_012.wav,librispeech,speech,0.000001,0.027754,0.027754
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0056_neg_005.wav,librispeech,speech,0.000000,0.002640,0.002640
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0056_neg_006.wav,librispeech,speech,0.000019,0.054986,0.054967
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0056_neg_007.wav,librispeech,speech,0.000000,0.001357,0.001357
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0058_neg_011.wav,librispeech,speech,0.000007,0.021622,0.021615
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0000_neg_002.wav,librispeech,speech,0.000051,0.031462,0.031411
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0000_neg_006.wav,librispeech,speech,0.000000,0.026859,0.026859
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0000_neg_007.wav,librispeech,speech,0.000063,0.012223,0.012160
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0001_neg_005.wav,librispeech,speech,0.000031,0.005836,0.005805
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0003_neg_012.wav,librispeech,speech,0.012666,0.989173,0.976507
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0004_neg_000.wav,librispeech,speech,0.000012,0.006766,0.006754
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0004_neg_001.wav,librispeech,speech,0.000000,0.013126,0.013126
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0005_neg_003.wav,librispeech,speech,0.000000,0.013051,0.013051
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0006_neg_002.wav,librispeech,speech,0.000003,0.001035,0.001032
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0006_neg_010.wav,librispeech,speech,0.000000,0.000397,0.000397
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0006_neg_013.wav,librispeech,speech,0.000004,0.045294,0.045291
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0007_neg_011.wav,librispeech,speech,0.000001,0.000680,0.000679
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0008_neg_012.wav,librispeech,speech,0.000187,0.016193,0.016006
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0008_neg_013.wav,librispeech,speech,0.000000,0.019030,0.019030
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0009_neg_005.wav,librispeech,speech,0.000388,0.000527,0.000139
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0009_neg_010.wav,librispeech,speech,0.000000,0.089147,0.089147
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0010_neg_005.wav,librispeech,speech,0.000031,0.033615,0.033583
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0010_neg_008.wav,librispeech,speech,0.000000,0.000464,0.000464
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0010_neg_012.wav,librispeech,speech,0.000000,0.005771,0.005771
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0011_neg_007.wav,librispeech,speech,0.000246,0.030232,0.029986
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0012_neg_000.wav,librispeech,speech,0.000001,0.043917,0.043916
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0012_neg_001.wav,librispeech,speech,0.000000,0.105054,0.105053
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0012_neg_005.wav,librispeech,speech,0.000001,0.072395,0.072394
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0012_neg_006.wav,librispeech,speech,0.002435,0.260649,0.258214
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0012_neg_011.wav,librispeech,speech,0.000002,0.254928,0.254926
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0013_neg_002.wav,librispeech,speech,0.000000,0.008789,0.008789
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0013_neg_005.wav,librispeech,speech,0.000000,0.004097,0.004097
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0014_neg_010.wav,librispeech,speech,0.000005,0.123672,0.123666
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0015_neg_008.wav,librispeech,speech,0.000006,0.064503,0.064497
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0015_neg_014.wav,librispeech,speech,0.000000,0.002305,0.002305
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0016_neg_005.wav,librispeech,speech,0.000471,0.007677,0.007206
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0016_neg_009.wav,librispeech,speech,0.009768,0.258151,0.248382
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0017_neg_004.wav,librispeech,speech,0.000000,0.002101,0.002101
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0017_neg_006.wav,librispeech,speech,0.000000,0.000594,0.000594
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0018_neg_000.wav,librispeech,speech,0.000054,0.080078,0.080024
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0018_neg_002.wav,librispeech,speech,0.000010,0.041015,0.041005
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0018_neg_003.wav,librispeech,speech,0.000000,0.052679,0.052679
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0018_neg_004.wav,librispeech,speech,0.000000,0.001002,0.001002
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0018_neg_009.wav,librispeech,speech,0.001391,0.031983,0.030592
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0018_neg_013.wav,librispeech,speech,0.000037,0.395411,0.395374
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0019_neg_004.wav,librispeech,speech,0.000001,0.001603,0.001602
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0021_neg_003.wav,librispeech,speech,0.000004,0.449582,0.449578
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0021_neg_010.wav,librispeech,speech,0.000001,0.097671,0.097670
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134318-0021_neg_012.wav,librispeech,speech,0.000000,0.076088,0.076087
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_000.wav,librispeech,speech,0.000000,0.181568,0.181567
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_002.wav,librispeech,speech,0.000002,0.781694,0.781693
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_005.wav,librispeech,speech,0.000001,0.015746,0.015746
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_006.wav,librispeech,speech,0.000000,0.883061,0.883061
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_007.wav,librispeech,speech,0.000011,0.942561,0.942550
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_008.wav,librispeech,speech,0.000013,0.037068,0.037055
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_009.wav,librispeech,speech,0.000002,0.282005,0.282003
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0000_neg_010.wav,librispeech,speech,0.000000,0.041806,0.041806
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_000.wav,librispeech,speech,0.006222,0.951117,0.944894
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_001.wav,librispeech,speech,0.000000,0.200689,0.200688
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_002.wav,librispeech,speech,0.000007,0.006515,0.006507
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_003.wav,librispeech,speech,0.000000,0.036051,0.036051
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_004.wav,librispeech,speech,0.000007,0.813764,0.813757
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_005.wav,librispeech,speech,0.000007,0.854916,0.854909
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_006.wav,librispeech,speech,0.000004,0.640604,0.640600
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_008.wav,librispeech,speech,0.000006,0.165943,0.165937
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_010.wav,librispeech,speech,0.000160,0.971529,0.971369
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_011.wav,librispeech,speech,0.000001,0.227667,0.227666
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_012.wav,librispeech,speech,0.000001,0.981241,0.981240
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_013.wav,librispeech,speech,0.000007,0.871055,0.871048
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_014.wav,librispeech,speech,0.000804,0.177070,0.176265
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0001_neg_015.wav,librispeech,speech,0.000056,0.922873,0.922817
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_002.wav,librispeech,speech,0.000168,0.961363,0.961195
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_004.wav,librispeech,speech,0.000054,0.487429,0.487376
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_005.wav,librispeech,speech,0.000001,0.909478,0.909477
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_007.wav,librispeech,speech,0.000000,0.029464,0.029464
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_008.wav,librispeech,speech,0.000000,0.156115,0.156115
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_010.wav,librispeech,speech,0.000003,0.249794,0.249791
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_011.wav,librispeech,speech,0.000001,0.917328,0.917327
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_012.wav,librispeech,speech,0.000000,0.769610,0.769610
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_013.wav,librispeech,speech,0.000003,0.744436,0.744433
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0002_neg_015.wav,librispeech,speech,0.000002,0.061889,0.061887
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_000.wav,librispeech,speech,0.000003,0.978927,0.978924
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_001.wav,librispeech,speech,0.000011,0.651415,0.651405
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_002.wav,librispeech,speech,0.000096,0.714522,0.714426
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_003.wav,librispeech,speech,0.000000,0.962662,0.962662
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_004.wav,librispeech,speech,0.000000,0.000698,0.000698
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_005.wav,librispeech,speech,0.000069,0.444446,0.444377
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_006.wav,librispeech,speech,0.000867,0.998936,0.998069
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_008.wav,librispeech,speech,0.000299,0.438826,0.438526
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_009.wav,librispeech,speech,0.000007,0.024747,0.024740
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_010.wav,librispeech,speech,0.000005,0.100437,0.100432
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_011.wav,librispeech,speech,0.000000,0.866770,0.866770
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_012.wav,librispeech,speech,0.000000,0.316295,0.316295
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0003_neg_013.wav,librispeech,speech,0.000005,0.299204,0.299199
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_000.wav,librispeech,speech,0.000004,0.772838,0.772834
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_002.wav,librispeech,speech,0.000000,0.530079,0.530078
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_003.wav,librispeech,speech,0.000000,0.010023,0.010023
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_005.wav,librispeech,speech,0.000003,0.568331,0.568328
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_009.wav,librispeech,speech,0.000008,0.035269,0.035261
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_010.wav,librispeech,speech,0.000641,0.148520,0.147879
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_011.wav,librispeech,speech,0.000003,0.986047,0.986043
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0004_neg_014.wav,librispeech,speech,0.000001,0.157856,0.157855
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_000.wav,librispeech,speech,0.000001,0.622280,0.622280
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_002.wav,librispeech,speech,0.000001,0.025114,0.025113
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_003.wav,librispeech,speech,0.000022,0.496986,0.496964
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_004.wav,librispeech,speech,0.000000,0.752457,0.752457
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_005.wav,librispeech,speech,0.000001,0.506905,0.506904
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_007.wav,librispeech,speech,0.000324,0.327089,0.326765
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_008.wav,librispeech,speech,0.000000,0.000310,0.000310
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_010.wav,librispeech,speech,0.000242,0.998769,0.998526
E:\SIH\ira-wakeword\dataset\negative\speech\1737_1737-146161-0005_neg_011.wav,librispeech,speech,0.000007,0.113274,0.113267
