validation_example_id,source_path,speaker_id,chapter_id,utterance_id,crop_index,crop_start_sec,crop_end_sec,utterance_dur_sec,source_flac,transcript,score,timing_method
652_652-130726-0008_neg_048,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0008_neg_048.wav,652,130726,652-130726-0008,48,3.0,4.0,9.305,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0008.flac,IF YOU KNOW HOW TO ORDER AND DO NOT CARE TO COUNT THE COST WHEN YOU ORDER PROBABLY THE BEST DINNER AT THESE RESTAURANTS CAN BE HAD AT EITHER BLANCO'S OR THE POODLE DOG,0.8457428216934204,xcorr(ncc=1.0000)
1284_1284-134647-0002_neg_001,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1284_1284-134647-0002_neg_001.wav,1284,134647,1284-134647-0002,1,14.0,15.0,15.11,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\1284\134647\1284-134647-0002.flac,BUT THIS INESTIMABLE PRIVILEGE WAS SOON VIOLATED WITH THE KNOWLEDGE OF TRUTH THE EMPEROR IMBIBED THE MAXIMS OF PERSECUTION AND THE SECTS WHICH DISSENTED FROM THE CATHOLIC CHURCH WERE AFFLICTED AND OPPRESSED BY THE TRIUMPH OF CHRISTIANITY,0.8400819301605225,xcorr(ncc=1.0000)
652_652-130726-0034_neg_007,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0034_neg_007.wav,652,130726,652-130726-0034,7,2.0,3.0,11.155,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0034.flac,UNDER ORDINARY CIRCUMSTANCES THE ABALONE IS TOUGH AND UNPALATABLE BUT AFTER THE DEFT MANIPULATION OF HERBERT THEY ARE TENDER AND MAKE A FINE DISH EITHER FRIED AS CHOWDER OR A LA NEWBERG,0.8318341374397278,xcorr(ncc=1.0000)
1988_1988-147956-0008_neg_032,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0008_neg_032.wav,1988,147956,1988-147956-0008,32,4.0,5.0,14.92,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0008.flac,SHE MADE MISSUS SHIMERDA UNDERSTAND THE FRIENDLY INTENTION OF OUR VISIT AND THE BOHEMIAN WOMAN HANDLED THE LOAVES OF BREAD AND EVEN SMELLED THEM AND EXAMINED THE PIES WITH LIVELY CURIOSITY EXCLAIMING MUCH GOOD MUCH THANK,0.813325047492981,xcorr(ncc=1.0000)
652_652-130726-0027_neg_073,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0027_neg_073.wav,652,130726,652-130726-0027,73,2.0,3.0,5.235,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0027.flac,PUT INTO THE OVEN AGAIN AND COOK FOR HALF AN HOUR BASTING FREQUENTLY WITH THE ORIGINAL BRINE,0.8092670440673828,xcorr(ncc=1.0000)
1580_1580-141084-0021_neg_053,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1580_1580-141084-0021_neg_053.wav,1580,141084,1580-141084-0021,53,3.0,4.0,4.01,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\1580\141084\1580-141084-0021.flac,ON THE PALM WERE THREE LITTLE PYRAMIDS OF BLACK DOUGHY CLAY,0.8027892112731934,xcorr(ncc=1.0000)
8188_8188-269288-0030_neg_036,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\8188_8188-269288-0030_neg_036.wav,8188,269288,8188-269288-0030,36,9.0,10.0,12.015,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-other\8188\269288\8188-269288-0030.flac,LESLIE WENT TO THE WINDOW AND FLUNG IT OPEN SHE PUT HER HEAD OUT AND TRIED TO PEER INTO THE DARKNESS BUT THE MOON HAD ALREADY SET AND SHE COULD NOT SEE MORE THAN A COUPLE OF YARDS IN FRONT OF HER,0.787392795085907,xcorr(ncc=1.0000)
116_116-288045-0030_neg_079,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\116_116-288045-0030_neg_079.wav,116,288045,116-288045-0030,79,0.0,1.0,4.805,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-other\116\288045\116-288045-0030.flac,I ASKED MY EYES FILLED WITH WONDER AND MY VOICE QUIVERING WITH EXCITEMENT,0.7689511775970459,xcorr(ncc=1.0000)
1988_1988-147956-0024_neg_087,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0024_neg_087.wav,1988,147956,1988-147956-0024,87,1.0,2.0,3.085,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0024.flac,SHE GOT UP ON HER KNEES AND WRUNG HER HANDS,0.7559202909469604,xcorr(ncc=1.0000)
1988_1988-147956-0001_neg_075,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0001_neg_075.wav,1988,147956,1988-147956-0001,75,4.0,5.0,14.21,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0001.flac,OCCASIONALLY ONE OF THE HORSES WOULD TEAR OFF WITH HIS TEETH A PLANT FULL OF BLOSSOMS AND WALK ALONG MUNCHING IT THE FLOWERS NODDING IN TIME TO HIS BITES AS HE ATE DOWN TOWARD THEM,0.7429258227348328,xcorr(ncc=1.0000)
652_652-130726-0021_neg_063,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0021_neg_063.wav,652,130726,652-130726-0021,63,5.0,6.0,11.385,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0021.flac,ONE CAN ALMOST IMAGINE HIMSELF IN ONE OF THE FAMOUS RATHSKELLERS OF OLD HEIDELBERG NOT AT THE SCHLOSS OF COURSE FOR HERE YOU CANNOT LOOK DOWN ON THE WEISER AS IT FLOWS BENEATH THE WINDOWS OF THE GREAT WINE STUBE ON THE HILL,0.7370892763137817,xcorr(ncc=1.0000)
4446_4446-2271-0011_neg_056,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\4446_4446-2271-0011_neg_056.wav,4446,2271,4446-2271-0011,56,2.0,3.0,3.945,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\4446\2271\4446-2271-0011.flac,SIR HARRY TOWNE MISTER BARTLEY ALEXANDER THE AMERICAN ENGINEER,0.6707138419151306,xcorr(ncc=1.0000)
2136_2136-5147-0024_neg_002,E:\SIH\ira-wakeword\dataset\negative\speech\2136_2136-5147-0024_neg_002.wav,2136,5147,2136-5147-0024,2,2.203,3.203,8.71,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\2136\5147\2136-5147-0024.flac,YES AND REALLY AUSTIN IT IS QUITE CLEAR YOU OUGHT TO MARRY YOU WANT SOME ONE TO TAKE THIS GIRL OUT AND LOOK AFTER HER AND WHO'S TO DO IT,0.6662449836730957,xcorr(ncc=1.0000)
652_652-130726-0005_neg_037,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0005_neg_037.wav,652,130726,652-130726-0005,37,2.0,3.0,10.445,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0005.flac,THIS GARISH DISPLAY OF MIRRORS AND ELABORATE DECORATION OF CEILING AND PILLARS GIVES IT THE APPEARANCE OF THE ABODE OF SATURNALIA BUT DECORUM IS THE RULE AMONG THE PATRONS,0.6582635045051575,xcorr(ncc=1.0000)
1970_1970-28415-0036_neg_008,E:\SIH\ira-wakeword\dataset\negative\speech\1970_1970-28415-0036_neg_008.wav,1970,28415,1970-28415-0036,8,8.222,9.222,14.36,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1970\28415\1970-28415-0036.flac,THEY WERE AT THEIR WITS END TO KNOW HOW TO GET RID OF JESUS THE CRAFTIEST MEN IN JERUSALEM COULD NOT THINK WHAT TO DO THERE WAS A KNOCK AT THE DOOR IT WAS ONE OF JESUS TWELVE DISCIPLES,0.6286894679069519,xcorr(ncc=1.0000)
1284_1284-1181-0000_neg_071,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1284_1284-1181-0000_neg_071.wav,1284,1181,1284-1181-0000,71,1.0,2.0,3.965,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\1284\1181\1284-1181-0000.flac,OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER,0.6232109069824219,xcorr(ncc=1.0000)
1988_1988-147956-0011_neg_001,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0011_neg_001.wav,1988,147956,1988-147956-0011,1,1.0,2.0,5.23,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0011.flac,HER SKIN WAS BROWN TOO AND IN HER CHEEKS SHE HAD A GLOW OF RICH DARK COLOR,0.6191926002502441,xcorr(ncc=1.0000)
652_652-130737-0000_neg_085,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130737-0000_neg_085.wav,652,130737,652-130737-0000,85,4.0,5.0,9.99,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130737\652-130737-0000.flac,NEVER DRINK ANY HARD LIQUORS SUCH AS WHISKY BRANDY GIN OR COCKTAILS WITH OYSTERS OR CLAMS AS IT IS LIABLE TO UPSET YOU FOR THE REST OF THE EVENING,0.618212878704071,xcorr(ncc=1.0000)
1580_1580-141084-0019_neg_037,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1580_1580-141084-0019_neg_037.wav,1580,141084,1580-141084-0019,37,1.0,2.0,3.125,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\1580\141084\1580-141084-0019.flac,YES MY DEAR WATSON I HAVE SOLVED THE MYSTERY,0.5984851121902466,xcorr(ncc=1.0000)
2136_2136-5147-0014_neg_007,E:\SIH\ira-wakeword\dataset\negative\speech\2136_2136-5147-0014_neg_007.wav,2136,5147,2136-5147-0014,7,7.796,8.796,9.91,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\2136\5147\2136-5147-0014.flac,VOUS SAVEZ LES MALADES SEE NEVER VISITORS SHE REPLIED WITH A STARTLED SORT OF TARTNESS AND A MOMENTARY ENERGY BESIDES I CANNOT CONVERSE,0.5960754156112671,xcorr(ncc=1.0000)
652_652-130726-0034_neg_009,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0034_neg_009.wav,652,130726,652-130726-0034,9,3.0,4.0,11.155,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0034.flac,UNDER ORDINARY CIRCUMSTANCES THE ABALONE IS TOUGH AND UNPALATABLE BUT AFTER THE DEFT MANIPULATION OF HERBERT THEY ARE TENDER AND MAKE A FINE DISH EITHER FRIED AS CHOWDER OR A LA NEWBERG,0.5931126475334167,xcorr(ncc=1.0000)
652_652-130726-0008_neg_046,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0008_neg_046.wav,652,130726,652-130726-0008,46,5.0,6.0,9.305,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0008.flac,IF YOU KNOW HOW TO ORDER AND DO NOT CARE TO COUNT THE COST WHEN YOU ORDER PROBABLY THE BEST DINNER AT THESE RESTAURANTS CAN BE HAD AT EITHER BLANCO'S OR THE POODLE DOG,0.5882537961006165,xcorr(ncc=1.0000)
908_908-157963-0009_neg_080,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\908_908-157963-0009_neg_080.wav,908,157963,908-157963-0009,80,2.0,3.0,4.06,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\908\157963\908-157963-0009.flac,WHY SHOULD THE MISTRESS OF THE VALES OF HAR UTTER A SIGH,0.5879335999488831,xcorr(ncc=1.0000)
4446_4446-2271-0002_neg_048,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\4446_4446-2271-0002_neg_048.wav,4446,2271,4446-2271-0002,48,1.0,2.0,2.385,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\4446\2271\4446-2271-0002.flac,IT'S TREMENDOUSLY WELL PUT ON TOO,0.5780576467514038,xcorr(ncc=1.0000)
1284_1284-134647-0003_neg_089,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1284_1284-134647-0003_neg_089.wav,1284,134647,1284-134647-0003,89,5.0,6.0,20.145,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\1284\134647\1284-134647-0003.flac,CONSTANTINE EASILY BELIEVED THAT THE HERETICS WHO PRESUMED TO DISPUTE HIS OPINIONS OR TO OPPOSE HIS COMMANDS WERE GUILTY OF THE MOST ABSURD AND CRIMINAL OBSTINACY AND THAT A SEASONABLE APPLICATION OF MODERATE SEVERITIES MIGHT SAVE THOSE UNHAPPY MEN FROM THE DANGER OF AN EVERLASTING CONDEMNATION,0.5760406255722046,xcorr(ncc=1.0000)
116_116-288047-0010_neg_034,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\116_116-288047-0010_neg_034.wav,116,288047,116-288047-0010,34,6.0,7.0,7.07,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-other\116\288047\116-288047-0010.flac,WE FILL THE SPACE ABOUT AND OVER US WITH SPIRITS FAIRIES GODS AND OTHER INVISIBLE AND AIRY BEINGS,0.5759480595588684,xcorr(ncc=1.0000)
8188_8188-269288-0016_neg_062,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\8188_8188-269288-0016_neg_062.wav,8188,269288,8188-269288-0016,62,1.0,2.0,10.18,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-other\8188\269288\8188-269288-0016.flac,HER EYES SHONE WITH PLEASURE AT THE ANTICIPATION OF THE DELIGHTFUL TIME SHE WOULD HAVE REVELING IN THE HOME NEWS THE OTHER LETTER WAS DIRECTED TO ANNIE COLCHESTER,0.5625933408737183,xcorr(ncc=1.0000)
8463_8463-294825-0013_neg_093,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\8463_8463-294825-0013_neg_093.wav,8463,294825,8463-294825-0013,93,13.0,14.0,17.64,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\8463\294825\8463-294825-0013.flac,FOR MANY THEN THIS BOOK HAS BEEN A SOURCE OF FASCINATION SURELY ONE OF THE MOST INFLUENTIAL NOVELS EVER WRITTEN AN INSPIRATION FOR SUCH SCIENTISTS AND DISCOVERERS AS ENGINEER SIMON LAKE OCEANOGRAPHER WILLIAM BEEBE POLAR TRAVELER SIR ERNEST SHACKLETON,0.5615881681442261,xcorr(ncc=1.0000)
2136_2136-5147-0003_neg_005,E:\SIH\ira-wakeword\dataset\negative\speech\2136_2136-5147-0003_neg_005.wav,2136,5147,2136-5147-0003,5,5.11,6.11,13.265,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\2136\5147\2136-5147-0003.flac,IS SHE UP OR IN BED IN HER ROOM BUT NOT IN BED I SHOULD SO LIKE TO SEE HER MY DEAR IT IS NOT MERE CURIOSITY I ASSURE YOU IN FACT CURIOSITY HAS NOTHING ON EARTH TO DO WITH IT,0.552626371383667,xcorr(ncc=1.0000)
1970_1970-28415-0018_neg_008,E:\SIH\ira-wakeword\dataset\negative\speech\1970_1970-28415-0018_neg_008.wav,1970,28415,1970-28415-0018,8,8.91,9.91,9.91,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\1970\28415\1970-28415-0018.flac,EVERYBODY WOULD HATE HIM TOO BUT IF HE SAID THEY SHOULD NOT PAY THE TAXES WELL THEY COULD COUNT ON THE ROMAN GOVERNOR TO SETTLE WITH JESUS THEN,0.5209634304046631,xcorr(ncc=1.0000)
6829_6829-68769-0017_neg_004,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\6829_6829-68769-0017_neg_004.wav,6829,68769,6829-68769-0017,4,1.0,2.0,3.545,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\6829\68769\6829-68769-0017.flac,WORSE TOM WORSE N EVER REPLIED THE JAILER GLOOMILY,0.5189579725265503,xcorr(ncc=1.0000)
6829_6829-68771-0010_neg_063,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\6829_6829-68771-0010_neg_063.wav,6829,68771,6829-68771-0010,63,7.0,8.0,9.82,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\6829\68771\6829-68771-0010.flac,THE FAIRVIEW BAND WAS ENGAGED TO DISCOURSE AS MUCH HARMONY AS IT COULD PRODUCE AND THE RESOURCES OF THE GREAT HOUSE WERE TAXED TO ENTERTAIN THE GUESTS,0.5170409679412842,xcorr(ncc=1.0000)
1988_1988-147956-0008_neg_029,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0008_neg_029.wav,1988,147956,1988-147956-0008,29,8.0,9.0,14.92,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0008.flac,SHE MADE MISSUS SHIMERDA UNDERSTAND THE FRIENDLY INTENTION OF OUR VISIT AND THE BOHEMIAN WOMAN HANDLED THE LOAVES OF BREAD AND EVEN SMELLED THEM AND EXAMINED THE PIES WITH LIVELY CURIOSITY EXCLAIMING MUCH GOOD MUCH THANK,0.5054996013641357,xcorr(ncc=1.0000)
1988_1988-147956-0001_neg_083,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0001_neg_083.wav,1988,147956,1988-147956-0001,83,10.0,11.0,14.21,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0001.flac,OCCASIONALLY ONE OF THE HORSES WOULD TEAR OFF WITH HIS TEETH A PLANT FULL OF BLOSSOMS AND WALK ALONG MUNCHING IT THE FLOWERS NODDING IN TIME TO HIS BITES AS HE ATE DOWN TOWARD THEM,0.4996284544467926,xcorr(ncc=1.0000)
652_652-130726-0005_neg_034,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\652_652-130726-0005_neg_034.wav,652,130726,652-130726-0005,34,5.0,6.0,10.445,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\652\130726\652-130726-0005.flac,THIS GARISH DISPLAY OF MIRRORS AND ELABORATE DECORATION OF CEILING AND PILLARS GIVES IT THE APPEARANCE OF THE ABODE OF SATURNALIA BUT DECORUM IS THE RULE AMONG THE PATRONS,0.4946081042289734,xcorr(ncc=1.0000)
116_116-288045-0032_neg_045,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\116_116-288045-0032_neg_045.wav,116,288045,116-288045-0032,45,0.0,1.0,6.75,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-other\116\288045\116-288045-0032.flac,AND IF FAITH THAT JESUS IS A GOD PROVES HIM A GOD WHY WILL NOT FAITH IN APOLLO MAKE HIM A GOD,0.49401697516441345,xcorr(ncc=1.0000)
2277_2277-149897-0034_neg_004,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\2277_2277-149897-0034_neg_004.wav,2277,149897,2277-149897-0034,4,4.0,5.0,12.16,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\2277\149897\2277-149897-0034.flac,DEAR SIR WE BEG TO INFORM YOU THAT WE ARE INSTRUCTED TO WAIT UNTIL TO MORROW THURSDAY AT ONE O'CLOCK BEFORE FILING SUIT AGAINST YOU ON BEHALF OF MISSUS JULIA HURSTWOOD FOR DIVORCE AND ALIMONY,0.49236997961997986,xcorr(ncc=1.0000)
908_908-31957-0004_neg_006,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\908_908-31957-0004_neg_006.wav,908,31957,908-31957-0004,6,12.0,13.0,14.755,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\908\31957\908-31957-0004.flac,SHALL I NEVER MISS HOME TALK AND BLESSING AND THE COMMON KISS THAT COMES TO EACH IN TURN NOR COUNT IT STRANGE WHEN I LOOK UP TO DROP ON A NEW RANGE OF WALLS AND FLOORS ANOTHER HOME THAN THIS,0.48841479420661926,xcorr(ncc=1.0000)
2902_2902-9006-0011_neg_093,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\2902_2902-9006-0011_neg_093.wav,2902,9006,2902-9006-0011,93,2.0,3.0,4.325,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\2902\9006\2902-9006-0011.flac,AND THE NEW BLOOD AT THE ERA OF THIS STORY WAS AT HAND,0.48050135374069214,xcorr(ncc=1.0000)
2136_2136-5147-0013_neg_007,E:\SIH\ira-wakeword\dataset\negative\speech\2136_2136-5147-0013_neg_007.wav,2136,5147,2136-5147-0013,7,7.375,8.375,12.59,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\2136\5147\2136-5147-0013.flac,AND WITH THESE WORDS SHE TURNED A LANGUID GLANCE OF GRATITUDE ON ME WHICH DROPPED ON THE GROUND LADY KNOLLYS WISHES VERY MUCH TO SEE YOU ONLY FOR A FEW MINUTES IF YOU COULD ADMIT HER,0.46672895550727844,xcorr(ncc=1.0000)
1580_1580-141084-0007_neg_041,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1580_1580-141084-0007_neg_041.wav,1580,141084,1580-141084-0007,41,0.0,1.0,2.02,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\1580\141084\1580-141084-0007.flac,TO MORROW IS THE EXAMINATION,0.4633956849575043,xcorr(ncc=1.0000)
4446_4446-2273-0002_neg_094,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\4446_4446-2273-0002_neg_094.wav,4446,2273,4446-2273-0002,94,1.0,2.0,3.295,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\4446\2273\4446-2273-0002.flac,LAMB WOULDN'T CARE A GREAT DEAL ABOUT MANY OF THEM I FANCY,0.463372141122818,xcorr(ncc=1.0000)
